dew_point,temperature,relative_humidity,wind_direction,wind_speed,solar_radiation,visibility_meters,Time,fog_category,pressure_altimeter_mb
21.0,21.0,100.0,290.0,3.0,7.11,5005.0473999999995,2022-09-01 05:30:00,HZ,1010.8374150000001
20.0,20.0,100.0,293.3333333333333,1.0,55.76,4007.2566,2022-09-01 06:00:00,HZ,1011.853332
20.0,20.0,100.0,296.6666666666667,2.0,104.41,1995.5816,2022-09-01 06:30:00,MIFG,1011.853332
21.0,21.0,100.0,300.0,3.0,202.32,1995.5816,2022-09-01 07:00:00,MIFG,1011.853332
21.0,22.0,94.06,310.0,2.0,300.23,1995.5816,2022-09-01 07:30:00,MIFG,1012.8692490000001
22.0,22.0,100.0,320.0,3.0,389.91,2993.3724,2022-09-01 08:00:00,BR,1012.8692490000001
21.0,23.0,88.51,290.0,3.0,479.59,6002.838199999999,2022-09-01 08:30:00,NSR,1012.8692490000001
21.0,24.0,83.32,300.0,3.0,565.125,7998.419799999999,2022-09-01 09:00:00,NSR,1012.8692490000001
22.0,25.0,83.44,320.0,3.0,650.66,7998.419799999999,2022-09-01 09:30:00,NSR,1012.8692490000001
22.0,25.0,83.44,70.0,3.0,674.825,7998.419799999999,2022-09-01 10:00:00,NSR,1012.8692490000001
22.0,26.0,78.62,40.0,5.0,698.99,9994.0014,2022-09-01 10:30:00,NSR,1012.8692490000001
22.0,27.0,74.11,45.0,3.0,702.225,9994.0014,2022-09-01 11:00:00,NSR,1012.8692490000001
21.0,27.0,69.71,50.0,3.0,705.46,9994.0014,2022-09-01 11:30:00,NSR,1011.853332
21.0,28.0,65.74,50.0,6.0,711.88,9994.0014,2022-09-01 12:00:00,NSR,1011.853332
21.0,28.0,65.74,70.0,5.0,718.3,9994.0014,2022-09-01 12:30:00,NSR,1011.853332
21.0,28.0,65.74,70.0,5.0,644.52,9994.0014,2022-09-01 13:00:00,NSR,1010.8374150000001
